CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,RF_Score,Segment
C1063,2,3,7472.139999999999,5,1,1,511,51,Needs Attention
C1064,174,7,29783.8,2,3,5,235,23,Needs Attention
C1065,240,11,28341.61,1,5,5,155,15,Big Spenders
C1066,97,9,31306.12,3,5,5,355,35,Potential
C1067,95,4,15534.619999999999,3,1,2,312,31,Needs Attention
C1068,10,8,24919.6,5,4,4,544,54,Champions
C1069,3,13,53654.77,5,5,5,555,55,Champions
C1070,231,3,12426.2,1,1,2,112,11,At Risk / Lost
C1071,108,5,9001.16,2,2,1,221,22,At Risk / Lost
C1072,146,9,25609.770000000004,2,5,4,254,25,Big Spenders
C1073,347,4,12614.21,1,1,2,112,11,At Risk / Lost
C1074,17,8,27225.22,5,4,4,544,54,Champions
C1075,13,6,18351.22,5,3,3,533,53,Loyal
C1076,154,8,16076.8,2,4,3,243,24,Big Spenders
C1077,267,5,27861.47,1,2,4,124,12,At Risk / Lost
C1078,212,6,10484.11,1,3,2,132,13,Needs Attention
C1079,80,12,44823.380000000005,3,5,5,355,35,Potential
C1080,87,5,6892.46,3,2,1,321,32,Potential
C1081,107,7,39466.29,2,3,5,235,23,Needs Attention
C1082,313,1,1580.4,1,1,1,111,11,At Risk / Lost
C1083,94,7,16513.739999999998,3,3,3,333,33,Potential
C1084,94,8,27724.570000000003,3,4,4,344,34,Potential
C1085,17,9,16013.41,5,5,3,553,55,Champions
C1086,186,7,24019.43,2,3,4,234,23,Needs Attention
C1087,8,7,13741.56,5,3,2,532,53,Loyal
C1088,322,5,5569.25,1,2,1,121,12,At Risk / Lost
C1089,56,6,12409.44,4,3,2,432,43,Loyal
C1090,88,7,20458.64,3,3,3,333,33,Potential
C1091,46,8,20826.84,4,4,3,443,44,Champions
C1092,65,4,13488.210000000001,3,1,2,312,31,Needs Attention
C1093,119,8,23412.76,2,4,4,244,24,Big Spenders
C1094,9,5,17660.7,5,2,3,523,52,Potential
C1095,139,6,8402.24,2,3,1,231,23,Needs Attention
C1096,43,5,14827.33,4,2,2,422,42,Potential
C1097,152,7,23319.45,2,3,4,234,23,Needs Attention
C1098,25,8,41940.159999999996,5,4,5,545,54,Champions
C1099,80,7,12701.24,3,3,2,332,33,Potential
C1100,162,7,27773.440000000002,2,3,4,234,23,Needs Attention
C1101,96,11,40027.77,3,5,5,355,35,Potential
C1102,383,3,3164.67,1,1,1,111,11,At Risk / Lost
C1103,18,7,16975.84,5,3,3,533,53,Loyal
C1104,147,8,24214.43,2,4,4,244,24,Big Spenders
C1105,49,5,18610.17,4,2,3,423,42,Potential
C1106,142,6,20001.47,2,3,3,233,23,Needs Attention
C1107,117,7,35943.630000000005,2,3,5,235,23,Needs Attention
C1108,58,8,15615.179999999998,4,4,3,443,44,Champions
C1109,498,1,1200.46,1,1,1,111,11,At Risk / Lost
C1110,25,5,14987.619999999999,5,2,2,522,52,Potential
C1111,43,10,31054.12,4,5,5,455,45,Champions
C1112,28,7,14711.9,4,3,2,432,43,Loyal
C1113,24,3,11047.07,5,1,2,512,51,Needs Attention
C1114,169,9,27814.01,2,5,4,254,25,Big Spenders
C1115,40,7,20102.03,4,3,3,433,43,Loyal
C1116,12,8,33133.380000000005,5,4,5,545,54,Champions
C1117,34,6,27257.29,4,3,4,434,43,Loyal
C1118,79,2,3137.8100000000004,3,1,1,311,31,Needs Attention
C1119,419,3,3697.05,1,1,1,111,11,At Risk / Lost
C1120,8,8,20337.74,5,4,3,543,54,Champions
C1121,209,6,27749.13,1,3,4,134,13,Needs Attention
C1122,7,11,37448.21,5,5,5,555,55,Champions
C1123,24,3,16327.48,5,1,3,513,51,Needs Attention
C1124,47,3,17745.86,4,1,3,413,41,Needs Attention
C1125,332,3,7190.93,1,1,1,111,11,At Risk / Lost
C1126,85,5,15781.23,3,2,3,323,32,Potential
C1127,153,6,14307.84,2,3,2,232,23,Needs Attention
C1128,94,8,40777.560000000005,3,4,5,345,34,Potential
C1129,76,6,14398.29,3,3,2,332,33,Potential
C1130,20,7,12317.73,5,3,2,532,53,Loyal
C1131,359,7,20470.12,1,3,3,133,13,Needs Attention
C1132,27,10,33637.08,5,5,5,555,55,Champions
C1133,96,12,42449.66,3,5,5,355,35,Potential
C1134,30,9,20489.510000000002,4,5,3,453,45,Champions
C1135,24,2,7721.4400000000005,5,1,1,511,51,Needs Attention
C1136,158,10,25387.2,2,5,4,254,25,Big Spenders
C1137,285,5,30477.39,1,2,5,125,12,At Risk / Lost
C1138,118,8,39040.57,2,4,5,245,24,Big Spenders
C1139,201,5,16359.810000000001,1,2,3,123,12,At Risk / Lost
C1140,136,10,27327.8,2,5,4,254,25,Big Spenders
C1141,2,5,14383.93,5,2,2,522,52,Potential
C1142,111,7,30633.510000000002,2,3,5,235,23,Needs Attention
C1143,58,8,20957.010000000002,4,4,4,444,44,Champions
C1144,127,4,11056.779999999999,2,1,2,212,21,At Risk / Lost
C1145,87,2,9386.4,3,1,1,311,31,Needs Attention
C1146,19,5,10888.11,5,2,2,522,52,Potential
C1147,117,6,16930.93,2,3,3,233,23,Needs Attention
C1148,43,9,37573.62,4,5,5,455,45,Champions
C1149,32,5,23295.83,4,2,4,424,42,Potential
C1150,43,3,8873.43,4,1,1,411,41,Needs Attention
C1151,23,3,5656.02,5,1,1,511,51,Needs Attention
C1152,184,7,23627.64,2,3,4,234,23,Needs Attention
C1153,4,8,18409.71,5,4,3,543,54,Champions
C1154,115,6,23665.18,2,3,4,234,23,Needs Attention
C1155,156,6,16868.0,2,3,3,233,23,Needs Attention
C1156,54,6,28037.11,4,3,4,434,43,Loyal
C1157,80,5,15623.61,3,2,3,323,32,Potential
C1158,26,5,18396.07,5,2,3,523,52,Potential
C1159,130,4,18686.44,2,1,3,213,21,At Risk / Lost
C1160,45,8,32623.09,4,4,5,445,44,Champions
C1161,76,5,7663.52,3,2,1,321,32,Potential
C1162,172,8,28282.59,2,4,5,245,24,Big Spenders
C1163,25,8,23123.36,5,4,4,544,54,Champions
C1164,286,5,21207.22,1,2,4,124,12,At Risk / Lost
C1165,14,4,16679.43,5,1,3,513,51,Needs Attention
C1166,396,3,7660.55,1,1,1,111,11,At Risk / Lost
C1167,170,7,17150.899999999998,2,3,3,233,23,Needs Attention
C1168,58,4,16562.03,4,1,3,413,41,Needs Attention
C1169,10,9,15563.49,5,5,2,552,55,Champions
C1170,91,8,30173.91,3,4,5,345,34,Potential
C1171,14,3,11786.58,5,1,2,512,51,Needs Attention
C1172,347,4,12413.29,1,1,2,112,11,At Risk / Lost
C1173,162,3,4872.650000000001,2,1,1,211,21,At Risk / Lost
C1174,135,10,31393.33,2,5,5,255,25,Big Spenders
C1175,173,5,13725.99,2,2,2,222,22,At Risk / Lost
C1176,166,5,15179.71,2,2,2,222,22,At Risk / Lost
C1177,26,10,20704.09,5,5,3,553,55,Champions
C1178,56,7,21887.13,4,3,4,434,43,Loyal
C1179,26,10,26092.13,5,5,4,554,55,Champions
C1180,413,2,10375.51,1,1,1,111,11,At Risk / Lost
C1181,453,3,8646.640000000001,1,1,1,111,11,At Risk / Lost
C1182,62,5,7486.969999999999,3,2,1,321,32,Potential
C1183,26,7,11900.800000000001,5,3,2,532,53,Loyal
C1184,46,10,32067.1,4,5,5,455,45,Champions
C1185,243,5,7668.57,1,2,1,121,12,At Risk / Lost
C1186,27,6,23697.61,5,3,4,534,53,Loyal
C1187,30,9,20930.46,4,5,3,453,45,Champions
C1188,49,12,33828.23,4,5,5,455,45,Champions
C1189,49,9,20532.19,4,5,3,453,45,Champions
C1190,84,6,23298.33,3,3,4,334,33,Potential
C1191,95,6,15051.43,3,3,2,332,33,Potential
C1192,202,6,13598.88,1,3,2,132,13,Needs Attention
C1193,244,5,17501.03,1,2,3,123,12,At Risk / Lost
C1194,30,8,34625.51,4,4,5,445,44,Champions
C1195,21,5,13494.97,5,2,2,522,52,Potential
C1196,42,8,32947.58,4,4,5,445,44,Champions
C1197,71,8,13525.32,3,4,2,342,34,Potential
C1198,20,9,22420.55,5,5,4,554,55,Champions
C1199,420,2,7573.12,1,1,1,111,11,At Risk / Lost
C1200,327,3,8513.87,1,1,1,111,11,At Risk / Lost
C1201,90,5,15467.4,3,2,2,322,32,Potential
C1202,84,9,32977.92,3,5,5,355,35,Potential
C1203,95,6,9895.08,3,3,1,331,33,Potential
C1204,152,9,40662.74,2,5,5,255,25,Big Spenders
C1205,190,2,13127.109999999999,1,1,2,112,11,At Risk / Lost
C1206,424,2,2989.3500000000004,1,1,1,111,11,At Risk / Lost
C1207,28,10,30057.81,4,5,5,455,45,Champions
C1208,6,9,11850.77,5,5,2,552,55,Champions
C1209,135,4,15712.460000000001,2,1,3,213,21,At Risk / Lost
C1210,1,9,26676.760000000002,5,5,4,554,55,Champions
C1211,1,6,15706.52,5,3,3,533,53,Loyal
C1212,17,9,29488.52,5,5,5,555,55,Champions
C1213,253,2,3431.74,1,1,1,111,11,At Risk / Lost
C1214,310,5,12722.54,1,2,2,122,12,At Risk / Lost
C1215,224,12,33399.24,1,5,5,155,15,Big Spenders
C1216,253,5,29449.68,1,2,5,125,12,At Risk / Lost
C1217,256,3,10894.8,1,1,2,112,11,At Risk / Lost
C1218,83,5,7095.38,3,2,1,321,32,Potential
C1219,65,7,14738.99,3,3,2,332,33,Potential
C1220,32,8,28850.489999999998,4,4,5,445,44,Champions
C1221,374,4,11296.369999999999,1,1,2,112,11,At Risk / Lost
C1222,346,5,14554.6,1,2,2,122,12,At Risk / Lost
C1223,107,7,13188.9,2,3,2,232,23,Needs Attention
C1224,30,7,17012.12,4,3,3,433,43,Loyal
C1225,40,8,42653.56,4,4,5,445,44,Champions
C1226,208,6,6334.110000000001,1,3,1,131,13,Needs Attention
C1227,533,3,11674.23,1,1,2,112,11,At Risk / Lost
C1228,265,4,19027.72,1,1,3,113,11,At Risk / Lost
C1229,36,9,42130.89,4,5,5,455,45,Champions
C1230,16,6,26157.64,5,3,4,534,53,Loyal
C1231,339,7,19332.51,1,3,3,133,13,Needs Attention
C1232,406,2,16650.28,1,1,3,113,11,At Risk / Lost
C1233,114,4,10616.29,2,1,2,212,21,At Risk / Lost
C1234,406,5,19876.16,1,2,3,123,12,At Risk / Lost
C1235,38,7,21528.26,4,3,4,434,43,Loyal
C1236,54,11,31666.14,4,5,5,455,45,Champions
C1237,74,9,30655.29,3,5,5,355,35,Potential
C1238,368,5,8592.57,1,2,1,121,12,At Risk / Lost
C1239,3,9,35751.259999999995,5,5,5,555,55,Champions
C1240,28,9,28482.63,4,5,5,455,45,Champions
C1241,64,9,30818.95,3,5,5,355,35,Potential
C1242,72,6,12427.02,3,3,2,332,33,Potential
C1243,180,8,13142.23,2,4,2,242,24,Big Spenders
C1244,216,4,12111.730000000001,1,1,2,112,11,At Risk / Lost
C1245,97,8,26172.79,3,4,4,344,34,Potential
C1246,567,2,11684.58,1,1,2,112,11,At Risk / Lost
C1247,67,5,22723.18,3,2,4,324,32,Potential
C1248,57,6,11835.08,4,3,2,432,43,Loyal
C1249,116,6,22404.97,2,3,4,234,23,Needs Attention
C1250,159,7,18752.41,2,3,3,233,23,Needs Attention
C1251,253,2,6349.93,1,1,1,111,11,At Risk / Lost
C1252,209,4,2602.4900000000002,1,1,1,111,11,At Risk / Lost
C1253,53,6,29073.62,4,3,5,435,43,Loyal
C1254,35,5,13286.93,4,2,2,422,42,Potential
C1255,87,11,38720.13,3,5,5,355,35,Potential
C1256,130,4,6389.01,2,1,1,211,21,At Risk / Lost
C1257,98,10,21938.07,3,5,4,354,35,Potential
C1258,4,7,26635.54,5,3,4,534,53,Loyal
C1259,122,7,22557.370000000003,2,3,4,234,23,Needs Attention
C1260,278,3,6879.06,1,1,1,111,11,At Risk / Lost
C1261,241,7,22734.02,1,3,4,134,13,Needs Attention
C1262,287,7,15053.720000000001,1,3,2,132,13,Needs Attention
C1263,229,5,21561.98,1,2,4,124,12,At Risk / Lost
C1264,63,9,32290.37,3,5,5,355,35,Potential
C1265,78,7,18292.66,3,3,3,333,33,Potential
C1266,64,7,24487.44,3,3,4,334,33,Potential
C1267,4,11,18218.37,5,5,3,553,55,Champions
C1268,410,4,13630.9,1,1,2,112,11,At Risk / Lost
C1269,1,5,11296.31,5,2,2,522,52,Potential
C1270,57,5,9270.12,4,2,1,421,42,Potential
C1271,182,6,41868.840000000004,2,3,5,235,23,Needs Attention
C1272,289,4,16820.07,1,1,3,113,11,At Risk / Lost
C1273,10,5,13828.1,5,2,2,522,52,Potential
C1274,97,6,16361.34,3,3,3,333,33,Potential
C1275,3,5,9048.699999999999,5,2,1,521,52,Potential
C1276,89,8,23828.19,3,4,4,344,34,Potential
C1277,111,6,16884.29,2,3,3,233,23,Needs Attention
C1278,287,4,9071.869999999999,1,1,1,111,11,At Risk / Lost
C1279,20,4,6965.969999999999,5,1,1,511,51,Needs Attention
C1280,303,3,13376.07,1,1,2,112,11,At Risk / Lost
C1281,436,4,13925.79,1,1,2,112,11,At Risk / Lost
C1282,49,3,7899.959999999999,4,1,1,411,41,Needs Attention
C1283,317,5,16988.11,1,2,3,123,12,At Risk / Lost
C1284,66,4,12284.9,3,1,2,312,31,Needs Attention
C1285,14,6,14935.609999999999,5,3,2,532,53,Loyal
C1286,147,4,17968.54,2,1,3,213,21,At Risk / Lost
C1287,109,4,6978.25,2,1,1,211,21,At Risk / Lost
C1288,240,5,10215.32,1,2,1,121,12,At Risk / Lost
C1289,101,5,20203.95,3,2,3,323,32,Potential
C1290,144,3,10488.45,2,1,2,212,21,At Risk / Lost
C1291,56,4,16349.66,4,1,3,413,41,Needs Attention
C1292,123,5,9365.689999999999,2,2,1,221,22,At Risk / Lost
C1293,67,5,30314.829999999998,3,2,5,325,32,Potential
C1294,89,5,17309.85,3,2,3,323,32,Potential
C1295,159,7,31119.81,2,3,5,235,23,Needs Attention
C1296,75,2,2934.01,3,1,1,311,31,Needs Attention
C1297,24,5,12918.810000000001,5,2,2,522,52,Potential
C1298,65,6,12148.54,3,3,2,332,33,Potential
C1299,21,8,32559.359999999997,5,4,5,545,54,Champions
C1300,80,11,44970.04,3,5,5,355,35,Potential
C1301,54,3,16131.86,4,1,3,413,41,Needs Attention
C1302,71,4,11079.89,3,1,2,312,31,Needs Attention
C1303,20,12,44689.37,5,5,5,555,55,Champions
C1304,49,4,8078.53,4,1,1,411,41,Needs Attention
C1305,60,7,23940.98,3,3,4,334,33,Potential
C1306,78,13,58273.11,3,5,5,355,35,Potential
C1307,159,4,4134.33,2,1,1,211,21,At Risk / Lost
C1308,142,9,24952.68,2,5,4,254,25,Big Spenders
C1309,22,8,31656.370000000003,5,4,5,545,54,Champions
C1310,219,5,12571.960000000001,1,2,2,122,12,At Risk / Lost
C1311,432,2,8668.06,1,1,1,111,11,At Risk / Lost
C1312,89,3,12903.449999999999,3,1,2,312,31,Needs Attention
C1313,102,6,21798.5,3,3,4,334,33,Potential
C1314,23,6,17604.26,5,3,3,533,53,Loyal
C1315,246,3,11266.89,1,1,2,112,11,At Risk / Lost
C1316,41,5,21975.55,4,2,4,424,42,Potential
C1317,103,6,31617.04,3,3,5,335,33,Potential
C1318,45,5,15676.25,4,2,3,423,42,Potential
C1319,16,6,25420.15,5,3,4,534,53,Loyal
C1320,278,7,21693.1,1,3,4,134,13,Needs Attention
C1321,81,4,9265.11,3,1,1,311,31,Needs Attention
C1322,9,11,24507.21,5,5,4,554,55,Champions
C1323,18,7,22648.64,5,3,4,534,53,Loyal
C1324,147,4,19190.72,2,1,3,213,21,At Risk / Lost
C1325,7,6,30824.64,5,3,5,535,53,Loyal
C1326,10,10,21380.63,5,5,4,554,55,Champions
C1327,4,6,26938.16,5,3,4,534,53,Loyal
C1328,78,6,13403.02,3,3,2,332,33,Potential
C1329,158,6,18698.06,2,3,3,233,23,Needs Attention
C1330,129,5,21742.46,2,2,4,224,22,At Risk / Lost
C1331,191,7,23716.81,1,3,4,134,13,Needs Attention
C1332,245,7,16774.65,1,3,3,133,13,Needs Attention
C1333,17,5,19037.3,5,2,3,523,52,Potential
C1334,13,8,33907.72,5,4,5,545,54,Champions
C1335,124,5,13432.79,2,2,2,222,22,At Risk / Lost
C1336,21,11,37043.22,5,5,5,555,55,Champions
C1337,31,9,28947.35,4,5,5,455,45,Champions
C1339,104,3,12590.64,3,1,2,312,31,Needs Attention
C1340,542,2,2291.96,1,1,1,111,11,At Risk / Lost
C1341,26,9,28046.260000000002,5,5,4,554,55,Champions
C1342,59,9,30569.46,4,5,5,455,45,Champions
C1343,20,12,31516.95,5,5,5,555,55,Champions
C1344,191,6,21214.77,1,3,4,134,13,Needs Attention
C1345,62,6,14990.35,3,3,2,332,33,Potential
C1346,2,9,29925.5,5,5,5,555,55,Champions
C1347,140,4,4773.92,2,1,1,211,21,At Risk / Lost
C1348,75,11,39934.15,3,5,5,355,35,Potential
C1349,8,7,23534.25,5,3,4,534,53,Loyal
C1350,73,6,26913.58,3,3,4,334,33,Potential
C1351,23,5,10756.130000000001,5,2,2,522,52,Potential
C1352,127,3,24522.77,2,1,4,214,21,At Risk / Lost
C1353,150,3,12180.900000000001,2,1,2,212,21,At Risk / Lost
C1354,239,5,11398.47,1,2,2,122,12,At Risk / Lost
C1355,253,4,5935.83,1,1,1,111,11,At Risk / Lost
C1356,401,3,4013.48,1,1,1,111,11,At Risk / Lost
C1357,187,8,23744.66,2,4,4,244,24,Big Spenders
C1358,133,9,27668.73,2,5,4,254,25,Big Spenders
C1359,7,14,77856.64,5,5,5,555,55,Champions
C1360,36,8,33692.56,4,4,5,445,44,Champions
C1361,62,8,13526.21,3,4,2,342,34,Potential
C1362,233,7,10736.49,1,3,2,132,13,Needs Attention
C1363,240,3,3867.2700000000004,1,1,1,111,11,At Risk / Lost
C1364,194,6,4155.9,1,3,1,131,13,Needs Attention
C1365,31,6,17461.96,4,3,3,433,43,Loyal
C1366,24,11,52387.19,5,5,5,555,55,Champions
C1367,437,5,16928.62,1,2,3,123,12,At Risk / Lost
C1368,259,6,23057.29,1,3,4,134,13,Needs Attention
C1369,165,5,17175.98,2,2,3,223,22,At Risk / Lost
C1370,8,7,24404.88,5,3,4,534,53,Loyal
C1371,19,9,27376.77,5,5,4,554,55,Champions
C1372,6,10,18119.27,5,5,3,553,55,Champions
C1373,23,10,31265.97,5,5,5,555,55,Champions
C1374,29,9,34025.04,4,5,5,455,45,Champions
C1375,1,6,17990.8,5,3,3,533,53,Loyal
C1376,46,8,25662.7,4,4,4,444,44,Champions
C1377,137,5,6733.62,2,2,1,221,22,At Risk / Lost
C1378,7,7,16827.54,5,3,3,533,53,Loyal
C1379,134,3,13577.49,2,1,2,212,21,At Risk / Lost
C1380,20,8,23286.77,5,4,4,544,54,Champions
C1381,228,5,16946.93,1,2,3,123,12,At Risk / Lost
C1382,14,4,12281.16,5,1,2,512,51,Needs Attention
C1383,150,4,6908.03,2,1,1,211,21,At Risk / Lost
C1384,45,9,24705.72,4,5,4,454,45,Champions
C1385,55,6,31014.82,4,3,5,435,43,Loyal
C1386,38,7,9762.91,4,3,1,431,43,Loyal
C1387,69,4,15347.02,3,1,2,312,31,Needs Attention
C1388,184,3,8904.65,2,1,1,211,21,At Risk / Lost
C1389,105,6,13887.660000000002,3,3,2,332,33,Potential
C1390,104,3,769.8299999999999,3,1,1,311,31,Needs Attention
C1391,151,14,57666.299999999996,2,5,5,255,25,Big Spenders
C1392,118,6,21970.43,2,3,4,234,23,Needs Attention
C1393,46,9,22687.29,4,5,4,454,45,Champions
C1394,463,2,3188.8999999999996,1,1,1,111,11,At Risk / Lost
C1395,64,4,15375.0,3,1,2,312,31,Needs Attention
C1396,132,4,19046.01,2,1,3,213,21,At Risk / Lost
C1397,39,7,24088.03,4,3,4,434,43,Loyal
C1398,122,7,28026.74,2,3,4,234,23,Needs Attention
C1399,362,6,15687.85,1,3,3,133,13,Needs Attention
C1400,47,7,22293.27,4,3,4,434,43,Loyal
C1401,135,6,10408.83,2,3,1,231,23,Needs Attention
C1402,195,8,19345.510000000002,1,4,3,143,14,Big Spenders
C1403,13,9,19584.99,5,5,3,553,55,Champions
C1404,607,4,5306.8099999999995,1,1,1,111,11,At Risk / Lost
C1405,306,5,12610.96,1,2,2,122,12,At Risk / Lost
C1406,99,7,21179.18,3,3,4,334,33,Potential
C1407,447,4,6569.8,1,1,1,111,11,At Risk / Lost
C1408,121,8,19495.86,2,4,3,243,24,Big Spenders
C1409,14,10,43752.18,5,5,5,555,55,Champions
C1410,113,7,20170.93,2,3,3,233,23,Needs Attention
C1411,226,3,11739.73,1,1,2,112,11,At Risk / Lost
C1412,25,5,8120.610000000001,5,2,1,521,52,Potential
C1413,165,4,30428.86,2,1,5,215,21,At Risk / Lost
C1414,25,9,24068.13,5,5,4,554,55,Champions
C1415,13,7,18057.74,5,3,3,533,53,Loyal
C1416,81,3,12300.51,3,1,2,312,31,Needs Attention
C1417,70,9,31298.63,3,5,5,355,35,Potential
C1418,171,3,4934.33,2,1,1,211,21,At Risk / Lost
C1419,178,4,11151.330000000002,2,1,2,212,21,At Risk / Lost
C1420,25,7,26484.83,5,3,4,534,53,Loyal
C1421,170,6,29941.5,2,3,5,235,23,Needs Attention
C1422,16,10,35237.42,5,5,5,555,55,Champions
C1423,156,2,11392.83,2,1,2,212,21,At Risk / Lost
C1424,21,11,41369.94,5,5,5,555,55,Champions
C1425,39,3,21966.15,4,1,4,414,41,Needs Attention
C1426,39,13,30104.949999999997,4,5,5,455,45,Champions
C1427,9,7,56751.35,5,3,5,535,53,Loyal
C1428,256,5,21123.17,1,2,4,124,12,At Risk / Lost
C1429,28,9,25794.79,4,5,4,454,45,Champions
C1430,7,6,22002.45,5,3,4,534,53,Loyal
C1431,104,5,27498.979999999996,3,2,4,324,32,Potential
C1432,12,6,9461.57,5,3,1,531,53,Loyal
C1433,17,7,19896.52,5,3,3,533,53,Loyal
C1434,292,8,33137.42,1,4,5,145,14,Big Spenders
C1435,12,6,5654.1,5,3,1,531,53,Loyal
C1436,45,4,10402.86,4,1,1,411,41,Needs Attention
C1437,27,6,19572.41,5,3,3,533,53,Loyal
C1438,122,8,23857.4,2,4,4,244,24,Big Spenders
C1439,146,8,25390.7,2,4,4,244,24,Big Spenders
C1440,159,9,21987.3,2,5,4,254,25,Big Spenders
C1441,702,1,11011.7,1,1,2,112,11,At Risk / Lost
C1442,42,8,25312.72,4,4,4,444,44,Champions
C1443,18,6,15125.12,5,3,2,532,53,Loyal
C1444,32,7,23220.670000000002,4,3,4,434,43,Loyal
C1445,135,9,36116.12,2,5,5,255,25,Big Spenders
C1446,17,8,24273.76,5,4,4,544,54,Champions
C1447,43,8,35916.81,4,4,5,445,44,Champions
C1448,174,6,16746.44,2,3,3,233,23,Needs Attention
C1449,61,5,10828.11,3,2,2,322,32,Potential
C1450,16,3,3948.9300000000003,5,1,1,511,51,Needs Attention
C1451,212,5,12424.02,1,2,2,122,12,At Risk / Lost
C1452,275,2,7376.41,1,1,1,111,11,At Risk / Lost
C1453,96,6,29805.010000000002,3,3,5,335,33,Potential
C1454,88,6,11649.19,3,3,2,332,33,Potential
C1455,391,4,6942.76,1,1,1,111,11,At Risk / Lost
C1456,36,2,8969.74,4,1,1,411,41,Needs Attention
C1457,28,8,15879.03,4,4,3,443,44,Champions
C1458,14,8,15021.34,5,4,2,542,54,Champions
C1459,13,11,36281.38,5,5,5,555,55,Champions
C1460,51,5,19302.21,4,2,3,423,42,Potential
C1461,49,3,5611.12,4,1,1,411,41,Needs Attention
C1462,4,5,14314.74,5,2,2,522,52,Potential
C1463,103,4,12954.91,3,1,2,312,31,Needs Attention
C1464,30,7,23686.1,4,3,4,434,43,Loyal
C1465,218,7,13022.46,1,3,2,132,13,Needs Attention
C1466,16,3,4787.09,5,1,1,511,51,Needs Attention
C1467,128,4,16653.36,2,1,3,213,21,At Risk / Lost
C1468,18,7,18454.09,5,3,3,533,53,Loyal
C1469,171,5,27179.84,2,2,4,224,22,At Risk / Lost
C1470,7,5,15676.11,5,2,3,523,52,Potential
C1471,15,8,21208.329999999998,5,4,4,544,54,Champions
