InvoiceNo,OrderDate,CustomerID,ProductID,ProductName,Category,Quantity,UnitPrice,Revenue
I100032,2024-02-02 04:02:33,C7423,P0157,Product_157,Clothing,-1,2032.8,-2032.8
I100033,2023-03-29 12:49:45,C3336,P0122,Product_122,Sports,2,2693.47,5386.94
I100034,2024-12-24 05:56:34,C4465,P0009,Product_9,Sports,1,1823.29,1823.29
I100035,2024-08-22 01:25:39,C6706,P0159,Product_159,Electronics,1,751.03,751.03
I100036,2023-09-01 16:03:57,C8842,P0175,Product_175,Sports,1,1953.26,1953.26
I100037,2023-02-08 21:47:15,C6984,P0228,Product_228,Sports,1,1209.64,1209.64
I100038,2023-01-05 09:01:43,C7417,P0068,Product_68,Electronics,2,2416.48,4832.96
I100039,2023-03-22 20:41:25,C5552,P0095,Product_95,Sports,2,2324.35,4648.7
I100040,2024-03-26 09:43:04,C6422,P0166,Product_166,Sports,1,2514.14,2514.14
I100041,2023-08-04 16:55:43,C6885,P0070,Product_70,Sports,2,2961.32,5922.64
I100042,2023-09-15 17:06:44,C4986,P0033,Product_33,Food,-1,241.9,-241.9
I100043,2023-02-27 18:18:43,C2555,P0181,Product_181,Sports,2,1056.15,2112.3
I100044,2024-10-29 18:01:39,C3430,P0208,Product_208,Electronics,1,2007.33,2007.33
I100045,2024-10-23 18:49:02,C2783,P0093,Product_93,Home,1,2294.32,2294.32
I100046,2024-06-29 20:19:34,C8935,P0135,Product_135,Beauty,3,2831.58,8494.74
I100047,2024-01-30 06:35:29,C1479,P0100,Product_100,Clothing,1,368.28,368.28
I100048,2024-01-19 08:50:48,C5744,P0001,Product_1,Sports,5,1154.89,5774.45
I100049,2024-11-30 14:07:28,C7027,P0133,Product_133,Beauty,2,403.6,807.2
I100050,2023-01-21 20:00:56,C5441,P0300,Product_300,Home,1,301.78,301.78
I100051,2023-08-09 14:42:25,C1499,P0218,Product_218,Beauty,4,2252.15,9008.6
I100052,2023-07-01 10:21:40,C7127,P0193,Product_193,Beauty,3,2706.23,8118.69
I100053,2023-01-25 16:26:07,C3569,P0011,Product_11,Sports,1,110.72,110.72
I100054,2024-12-13 20:55:53,C1468,P0288,Product_288,Clothing,1,1650.8,1650.8
I100055,2023-01-12 07:38:20,C1410,P0157,Product_157,Clothing,1,2032.8,2032.8
I100056,2024-10-31 09:28:13,C5785,P0002,Product_2,Electronics,1,2854.61,2854.61
I100057,2023-11-14 14:57:29,C4905,P0083,Product_83,Clothing,3,1026.15,3078.45
I100058,2023-01-14 19:15:08,C5119,P0274,Product_274,Food,2,2744.06,5488.12
I100059,2023-12-02 16:18:29,C8531,P0263,Product_263,Sports,3,463.25,1389.75
I100060,2023-10-19 04:32:02,C7985,P0025,Product_25,Beauty,1,1395.41,1395.41
I100061,2024-05-23 04:58:39,C5350,P0036,Product_36,Electronics,4,2434.77,9739.08
I100062,2024-12-17 19:56:45,C2289,P0163,Product_163,Sports,1,1918.91,1918.91
I100063,2024-05-27 23:40:24,C1465,P0133,Product_133,Beauty,1,403.6,403.6
I100064,2023-09-12 09:36:12,C8870,P0205,Product_205,Electronics,3,1838.97,5516.91
I100065,2023-05-05 00:52:51,C5160,P0055,Product_55,Food,3,1813.8,5441.4
I100066,2024-11-18 11:51:20,C1656,P0133,Product_133,Beauty,1,403.6,403.6
I100067,2023-12-09 06:16:43,C7974,P0007,Product_7,Home,2,221.35,442.7
I100068,2023-06-05 21:14:13,C2522,P0258,Product_258,Sports,1,2103.29,2103.29
I100069,2024-06-28 16:05:50,C1561,P0207,Product_207,Food,4,349.34,1397.36
I100070,2024-10-16 10:45:43,C5874,P0070,Product_70,Sports,3,2961.32,8883.96
I100071,2024-01-24 14:36:15,C1556,P0075,Product_75,Electronics,5,2135.23,10676.15
I100072,2024-03-02 20:53:42,C6531,P0177,Product_177,Beauty,5,2088.27,10441.35
I100073,2023-02-26 21:25:00,C8060,P0143,Product_143,Electronics,2,1516.88,3033.76
I100074,2023-12-24 02:18:12,C2926,P0080,Product_80,Clothing,3,391.81,1175.43
I100075,2023-03-28 17:00:30,C4307,P0261,Product_261,Beauty,1,1864.27,1864.27
I100076,2024-03-27 17:32:58,C1982,P0067,Product_67,Sports,4,465.73,1862.92
I100077,2023-04-18 16:45:51,C8713,P0195,Product_195,Food,4,1050.14,4200.56
I100078,2024-11-23 08:40:11,C8293,P0263,Product_263,Sports,3,463.25,1389.75
I100079,2023-01-15 18:26:19,C5666,P0270,Product_270,Home,3,916.1,2748.3
I100080,2023-08-05 20:54:07,C3016,P0034,Product_34,Beauty,2,2849.21,5698.42
I100081,2023-09-23 04:39:49,C5742,P0142,Product_142,Electronics,1,792.76,792.76
I100082,2024-05-16 05:17:15,C5870,P0171,Product_171,Home,1,2048.81,2048.81
I100083,2024-09-09 04:57:13,C1325,P0053,Product_53,Electronics,1,2821.52,2821.52
I100084,2024-05-25 02:09:44,C6073,P0251,Product_251,Electronics,1,918.62,918.62
I100085,2023-05-27 07:23:09,C1671,P0016,Product_16,Food,2,591.04,1182.08
I100086,2024-02-18 03:05:06,C4434,P0006,Product_6,Home,1,510.18,510.18
I100087,2023-11-21 22:21:28,C6385,P0101,Product_101,Sports,3,142.72,428.16
I100088,2023-10-16 02:24:27,C5781,P0080,Product_80,Clothing,1,391.81,391.81
I100089,2023-03-07 10:36:35,C5630,P0213,Product_213,Food,5,1973.29,9866.45
I100090,2024-10-19 15:16:02,C5282,P0213,Product_213,Food,1,1973.29,1973.29
I100091,2023-12-05 10:10:20,C3591,P0148,Product_148,Sports,1,1532.9,1532.9
I100092,2024-03-28 15:28:46,C8657,P0230,Product_230,Clothing,2,1911.86,3823.72
I100093,2023-07-02 07:32:58,C3136,P0232,Product_232,Beauty,1,1532.78,1532.78
I100094,2024-02-25 01:40:17,C2673,P0266,Product_266,Food,2,2235.27,4470.54
I100095,2024-07-08 08:16:39,C6486,P0280,Product_280,Electronics,3,2397.59,7192.77
I100096,2024-09-09 16:59:55,C6867,P0148,Product_148,Sports,2,1532.9,3065.8
I100097,2024-11-28 09:24:31,C3573,P0057,Product_57,Electronics,4,311.05,1244.2
I100098,2023-10-07 09:56:30,C2955,P0219,Product_219,Food,2,1966.42,3932.84
I100099,2023-09-26 10:48:29,C3175,P0015,Product_15,Beauty,2,586.38,1172.76
I100100,2024-09-20 08:41:50,C4242,P0224,Product_224,Home,1,1134.76,1134.76
I100101,2024-06-22 11:55:24,C2072,P0141,Product_141,Food,5,2889.22,14446.1
I100102,2024-06-01 18:36:49,C6502,P0147,Product_147,Home,2,1848.21,3696.42
I100103,2024-04-13 16:21:24,C6287,P0113,Product_113,Electronics,2,2792.61,5585.22
I100104,2023-10-16 12:26:42,C3457,P0027,Product_27,Sports,5,639.04,3195.2
I100105,2023-05-01 05:01:13,C4745,P0170,Product_170,Food,1,1793.13,1793.13
I100106,2024-03-20 08:48:41,C3590,P0057,Product_57,Electronics,1,311.05,311.05
I100107,2024-08-16 17:50:55,C8610,P0116,Product_116,Sports,1,2620.81,2620.81
I100108,2023-06-10 19:36:00,C7159,P0040,Product_40,Clothing,5,1348.45,6742.25
I100109,2023-07-17 11:20:32,C8665,P0099,Product_99,Food,1,124.99,124.99
I100110,2024-07-01 10:37:55,C1594,P0064,Product_64,Clothing,2,1102.42,2204.84
I100111,2023-01-15 04:44:52,C1076,P0189,Product_189,Home,1,1612.47,1612.47
I100112,2023-12-06 22:49:49,C4754,P0134,Product_134,Food,2,1045.96,2091.92
I100113,2024-08-05 19:12:26,C6088,P0077,Product_77,Clothing,1,2325.25,2325.25
I100114,2024-10-27 18:45:23,C5612,P0140,Product_140,Beauty,2,2916.76,5833.52
I100115,2023-09-27 18:40:24,C1819,P0005,Product_5,Clothing,1,510.25,510.25
I100116,2023-01-20 02:10:27,C1600,P0183,Product_183,Sports,1,2777.85,2777.85
I100117,2023-01-31 16:09:50,C5404,P0242,Product_242,Home,3,2864.09,8592.27
I100118,2024-07-01 05:28:10,C2746,P0261,Product_261,Beauty,1,1864.27,1864.27
I100119,2023-11-13 10:23:57,C5144,P0021,Product_21,Home,3,1854.97,5564.91
I100120,2023-10-21 13:24:43,C3172,P0174,Product_174,Sports,2,718.16,1436.32
I100121,2023-11-28 10:55:43,C2085,P0129,Product_129,Beauty,4,70.51,282.04
I100122,2024-08-21 09:10:49,C8645,P0212,Product_212,Sports,1,2091.09,2091.09
I100123,2024-12-04 06:08:35,C3859,P0016,Product_16,Food,5,591.04,2955.2
I100124,2023-01-20 09:16:01,C8216,P0293,Product_293,Beauty,3,2476.67,7430.01
I100125,2024-10-28 23:58:27,C1563,P0248,Product_248,Sports,2,2901.63,5803.26
I100126,2024-08-22 11:11:15,C8202,P0141,Product_141,Food,3,2889.22,8667.66
I100127,2023-04-15 20:00:05,C3001,P0092,Product_92,Sports,1,2154.07,2154.07
I100128,2024-02-09 22:33:20,C4027,P0261,Product_261,Beauty,1,1864.27,1864.27
I100129,2023-06-07 16:12:26,C3334,P0213,Product_213,Food,2,1973.29,3946.58
I100130,2023-08-19 09:53:12,C2292,P0225,Product_225,Sports,1,832.35,832.35
I100131,2023-10-12 12:41:54,C4589,P0237,Product_237,Electronics,1,878.28,878.28
I100132,2024-12-06 02:01:31,C7830,P0029,Product_29,Sports,2,1797.62,3595.24
I100133,2023-08-25 20:26:55,C5450,P0117,Product_117,Clothing,2,2420.83,4841.66
I100134,2023-08-22 04:12:09,C6763,P0087,Product_87,Sports,5,2202.34,11011.7
I100135,2023-12-23 02:22:11,C3478,P0280,Product_280,Electronics,1,2397.59,2397.59
I100136,2024-08-28 11:20:27,C6010,P0215,Product_215,Home,3,2150.93,6452.79
I100137,2023-05-30 12:39:21,C7611,P0014,Product_14,Electronics,1,676.4,676.4
I100138,2023-07-28 06:11:05,C6357,P0241,Product_241,Beauty,2,2824.35,5648.7
I100139,2024-11-23 10:48:23,C5333,P0171,Product_171,Home,1,2048.81,2048.81
I100140,2023-10-12 02:21:41,C1064,P0024,Product_24,Electronics,1,1130.77,1130.77
I100141,2024-02-11 17:01:45,C6471,P0264,Product_264,Beauty,2,1579.07,3158.14
I100142,2023-05-18 22:02:08,C7693,P0001,Product_1,Sports,1,1154.89,1154.89
I100143,2024-08-19 12:05:52,C5543,P0199,Product_199,Clothing,1,2666.9,2666.9
I100144,2024-06-23 03:22:52,C3452,P0033,Product_33,Food,1,241.9,241.9
I100145,2024-01-26 12:08:14,C8632,P0199,Product_199,Clothing,1,2666.9,2666.9
I100146,2023-04-09 17:05:37,C6434,P0093,Product_93,Home,1,2294.32,2294.32
I100147,2024-06-03 08:49:02,C1848,P0223,Product_223,Sports,-1,326.34,-326.34
I100148,2023-10-17 05:42:39,C3166,P0053,Product_53,Electronics,1,2821.52,2821.52
I100149,2024-09-20 01:31:31,C1945,P0017,Product_17,Electronics,1,947.51,947.51
I100150,2023-09-09 07:26:59,C8288,P0029,Product_29,Sports,2,1797.62,3595.24
I100151,2024-02-15 13:54:55,C1876,P0238,Product_238,Clothing,6,121.73,730.38
I100152,2023-06-27 17:49:05,C7081,P0268,Product_268,Food,1,2122.33,2122.33
I100153,2023-02-23 15:25:50,C5532,P0111,Product_111,Food,2,904.77,1809.54
I100154,2024-10-14 16:33:01,C2273,P0030,Product_30,Beauty,1,187.03,187.03
I100155,2023-04-14 07:46:20,C3231,P0231,Product_231,Food,2,2394.69,4789.38
I100156,2023-09-16 19:14:25,C3308,P0281,Product_281,Sports,3,2675.52,8026.56
I100157,2024-10-20 01:38:16,C5954,P0165,Product_165,Clothing,1,316.35,316.35
I100158,2024-09-09 16:49:25,C2725,P0073,Product_73,Electronics,1,66.29,66.29
I100159,2024-11-17 21:20:54,C6878,P0172,Product_172,Food,1,98.93,98.93
I100160,2024-09-13 01:36:50,C3808,P0295,Product_295,Home,1,424.83,424.83
I100161,2024-03-31 12:24:37,C2667,P0078,Product_78,Food,3,268.43,805.29
I100162,2023-07-08 09:06:23,C6631,P0018,Product_18,Electronics,1,1598.03,1598.03
I100163,2024-06-26 13:24:55,C6195,P0211,Product_211,Home,5,1668.76,8343.8
I100164,2024-10-02 15:35:41,C7987,P0111,Product_111,Food,3,904.77,2714.31
I100165,2024-08-15 03:50:28,C3162,P0063,Product_63,Beauty,2,2494.78,4989.56
I100166,2024-04-02 11:21:29,C5140,P0129,Product_129,Beauty,2,70.51,141.02
I100167,2024-08-06 23:25:58,C5002,P0291,Product_291,Home,1,139.98,139.98
I100168,2024-03-25 04:17:02,C3057,P0278,Product_278,Food,2,1967.39,3934.78
I100169,2023-04-11 20:34:41,C8416,P0183,Product_183,Sports,2,2777.85,5555.7
I100170,2024-07-11 11:25:08,C8439,P0101,Product_101,Sports,4,142.72,570.88
I100171,2024-04-12 04:56:13,C7931,P0052,Product_52,Clothing,3,2336.64,7009.92
I100172,2023-06-01 19:59:30,C1416,P0198,Product_198,Clothing,2,2696.48,5392.96
I100173,2024-08-04 10:57:00,C1756,P0126,Product_126,Home,2,1309.97,2619.94
I100174,2024-06-29 10:59:32,C6196,P0030,Product_30,Beauty,2,187.03,374.06
I100175,2023-09-20 23:40:54,C4469,P0037,Product_37,Home,3,948.61,2845.83
I100176,2024-06-11 00:24:20,C7794,P0038,Product_38,Sports,2,338.13,676.26
I100177,2024-04-30 11:59:39,C3266,P0112,Product_112,Clothing,3,525.6,1576.8
I100178,2023-04-21 15:42:53,C1361,P0059,Product_59,Electronics,3,183.42,550.26
I100179,2024-07-12 06:28:10,C1029,P0090,Product_90,Electronics,2,1443.03,2886.06
I100180,2023-03-01 17:49:54,C3732,P0245,Product_245,Electronics,4,95.6,382.4
I100181,2024-11-21 12:28:40,C7317,P0223,Product_223,Sports,3,326.34,979.02
I100182,2024-06-25 13:32:50,C2071,P0211,Product_211,Home,3,1668.76,5006.28
I100183,2024-11-29 06:29:20,C6219,P0091,Product_91,Beauty,2,402.8,805.6
I100184,2023-07-30 22:49:07,C3145,P0290,Product_290,Home,5,1792.96,8964.8
I100185,2024-04-28 18:20:48,C2323,P0102,Product_102,Sports,1,1927.41,1927.41
I100186,2024-07-26 06:05:06,C7072,P0020,Product_20,Home,1,909.13,909.13
I100187,2023-01-15 08:43:20,C4619,P0133,Product_133,Beauty,1,403.6,403.6
I100188,2024-05-06 14:32:37,C5519,P0264,Product_264,Beauty,3,1579.07,4737.21
I100189,2024-09-01 09:35:01,C6780,P0115,Product_115,Beauty,2,1918.54,3837.08
I100190,2023-03-25 20:46:42,C4503,P0175,Product_175,Sports,2,1953.26,3906.52
I100191,2024-05-09 13:23:20,C5594,P0062,Product_62,Sports,1,850.48,850.48
I100192,2023-02-16 08:48:14,C1079,P0040,Product_40,Clothing,1,1348.45,1348.45
I100193,2024-12-27 06:37:41,C1916,P0037,Product_37,Home,2,948.61,1897.22
I100194,2023-12-02 09:01:17,C1616,P0227,Product_227,Food,1,2920.38,2920.38
I100195,2024-04-13 10:51:29,C8741,P0021,Product_21,Home,1,1854.97,1854.97
I100196,2024-02-29 11:56:55,C8234,P0056,Product_56,Beauty,2,2769.53,5539.06
I100197,2023-05-13 00:52:12,C6660,P0151,Product_151,Electronics,1,2729.38,2729.38
I100198,2023-10-15 15:58:58,C8404,P0090,Product_90,Electronics,3,1443.03,4329.09
I100199,2023-11-13 01:18:42,C2221,P0262,Product_262,Home,3,2970.66,8911.98
I100200,2023-01-16 01:47:03,C5469,P0254,Product_254,Electronics,1,984.92,984.92
I100201,2023-12-14 15:15:14,C1295,P0247,Product_247,Sports,6,1313.14,7878.84
I100202,2024-03-27 04:50:36,C7837,P0044,Product_44,Clothing,1,2732.5,2732.5
I100203,2024-03-31 10:27:35,C4024,P0054,Product_54,Sports,1,2689.74,2689.74
I100204,2024-09-17 00:18:58,C5771,P0245,Product_245,Electronics,4,95.6,382.4
I100205,2023-03-08 11:31:04,C5526,P0156,Product_156,Beauty,2,764.06,1528.12
I100206,2024-12-18 01:07:03,C2213,P0133,Product_133,Beauty,3,403.6,1210.8
I100207,2024-08-08 23:35:33,C4520,P0024,Product_24,Electronics,1,1130.77,1130.77
I100208,2023-04-09 18:24:08,C2044,P0176,Product_176,Clothing,2,564.38,1128.76
I100209,2024-01-16 03:10:19,C1342,P0163,Product_163,Sports,2,1918.91,3837.82
I100210,2023-10-31 19:13:14,C3525,P0158,Product_158,Beauty,1,2296.78,2296.78
I100211,2024-07-22 11:17:38,C3987,P0239,Product_239,Electronics,2,1954.14,3908.28
I100212,2023-02-10 22:56:41,C8364,P0073,Product_73,Electronics,3,66.29,198.87
I100213,2024-02-15 11:48:58,C8643,P0144,Product_144,Electronics,4,937.59,3750.36
I100214,2024-01-20 23:28:54,C7521,P0266,Product_266,Food,1,2235.27,2235.27
I100215,2024-05-16 09:54:05,C8964,P0269,Product_269,Food,2,1110.5,2221.0
I100216,2023-08-11 07:52:21,C8050,P0100,Product_100,Clothing,6,368.28,2209.68
I100217,2023-11-08 13:06:46,C1326,P0289,Product_289,Electronics,1,895.3,895.3
I100218,2023-09-09 07:54:20,C8363,P0114,Product_114,Home,1,2433.96,2433.96
I100219,2024-10-18 01:14:19,C3931,P0079,Product_79,Sports,1,1107.47,1107.47
I100220,2024-04-16 00:49:09,C2720,P0019,Product_19,Electronics,2,1324.24,2648.48
I100221,2023-09-14 07:16:24,C6587,P0130,Product_130,Beauty,1,1556.7,1556.7
I100222,2024-09-24 21:53:48,C3044,P0184,Product_184,Beauty,1,2638.15,2638.15
I100223,2023-12-17 17:43:20,C6463,P0151,Product_151,Electronics,1,2729.38,2729.38
I100224,2023-07-02 16:23:50,C1842,P0210,Product_210,Home,2,524.38,1048.76
I100225,2024-10-17 02:06:37,C3897,P0129,Product_129,Beauty,4,70.51,282.04
I100226,2024-02-16 10:01:39,C7390,P0040,Product_40,Clothing,6,1348.45,8090.7
I100227,2024-05-01 05:13:53,C5586,P0161,Product_161,Sports,3,1134.96,3404.88
I100228,2024-05-16 08:14:42,C8242,P0265,Product_265,Beauty,3,2638.25,7914.75
I100229,2024-02-15 02:40:26,C8165,P0137,Product_137,Clothing,3,1580.43,4741.29
I100230,2023-10-29 18:24:58,C4329,P0142,Product_142,Electronics,3,792.76,2378.28
I100231,2023-05-29 03:09:26,C8977,P0044,Product_44,Clothing,4,2732.5,10930.0
I100232,2023-02-11 10:44:28,C6084,P0183,Product_183,Sports,3,2777.85,8333.55
I100233,2024-11-17 07:03:46,C7139,P0163,Product_163,Sports,2,1918.91,3837.82
I100234,2023-03-07 19:47:33,C2266,P0219,Product_219,Food,2,1966.42,3932.84
I100235,2024-12-12 23:13:25,C8583,P0133,Product_133,Beauty,2,403.6,807.2
I100236,2024-09-27 05:49:54,C8617,P0209,Product_209,Beauty,2,64.93,129.86
I100237,2024-08-27 11:42:07,C2939,P0254,Product_254,Electronics,3,984.92,2954.76
I100238,2024-05-12 05:04:34,C8082,P0093,Product_93,Home,2,2294.32,4588.64
I100239,2023-08-04 21:41:40,C2331,P0289,Product_289,Electronics,3,895.3,2685.9
I100240,2023-01-07 10:02:12,C8997,P0261,Product_261,Beauty,1,1864.27,1864.27
I100241,2023-12-14 18:45:23,C7552,P0273,Product_273,Sports,2,2607.86,5215.72
I100242,2023-09-09 16:18:21,C7641,P0023,Product_23,Beauty,5,911.83,4559.15
I100243,2023-01-11 01:34:38,C2450,P0149,Product_149,Food,2,201.86,403.72
I100244,2024-08-15 04:41:48,C8220,P0253,Product_253,Clothing,3,2560.85,7682.55
I100245,2024-10-05 04:54:49,C4377,P0037,Product_37,Home,4,948.61,3794.44
I100246,2024-09-27 00:28:08,C1203,P0041,Product_41,Clothing,4,410.01,1640.04
I100247,2024-09-01 19:58:19,C2469,P0098,Product_98,Food,1,1311.25,1311.25
I100248,2023-10-03 05:52:08,C7033,P0189,Product_189,Home,1,1612.47,1612.47
I100249,2023-10-28 04:23:46,C8573,P0288,Product_288,Clothing,2,1650.8,3301.6
I100250,2024-08-27 06:42:42,C3721,P0269,Product_269,Food,2,1110.5,2221.0
I100251,2023-05-06 00:42:44,C7409,P0012,Product_12,Sports,2,2911.23,5822.46
I100252,2023-12-05 02:38:37,C8625,P0020,Product_20,Home,2,909.13,1818.26
I100253,2024-05-14 18:43:21,C4372,P0231,Product_231,Food,-2,2394.69,-4789.38
I100254,2024-05-22 17:10:28,C8078,P0079,Product_79,Sports,2,1107.47,2214.94
I100255,2024-03-22 07:31:24,C7021,P0165,Product_165,Clothing,1,316.35,316.35
I100256,2024-03-07 23:39:26,C7641,P0069,Product_69,Electronics,2,269.92,539.84
I100257,2023-08-18 15:45:49,C3032,P0222,Product_222,Sports,3,1726.51,5179.53
I100258,2023-12-25 04:12:28,C3185,P0144,Product_144,Electronics,2,937.59,1875.18
I100259,2023-05-08 22:14:24,C2304,P0286,Product_286,Food,3,156.03,468.09
I100260,2024-11-17 23:32:57,C7450,P0225,Product_225,Sports,1,832.35,832.35
I100261,2024-02-22 01:17:04,C6744,P0271,Product_271,Electronics,1,2437.62,2437.62
I100262,2023-01-05 12:11:06,C1885,P0256,Product_256,Home,3,1692.56,5077.68
I100263,2024-06-30 10:01:51,C4133,P0050,Product_50,Clothing,2,595.32,1190.64
I100264,2024-05-20 18:37:04,C8144,P0111,Product_111,Food,2,904.77,1809.54
I100265,2024-05-16 15:29:20,C1317,P0226,Product_226,Clothing,-1,769.77,-769.77
I100266,2023-01-02 22:28:08,C2822,P0139,Product_139,Home,2,1122.71,2245.42
I100267,2024-03-01 17:02:10,C2634,P0122,Product_122,Sports,1,2693.47,2693.47
I100268,2024-05-23 16:16:44,C7689,P0249,Product_249,Electronics,1,2892.68,2892.68
I100269,2023-02-27 18:56:12,C8523,P0267,Product_267,Home,1,2106.2,2106.2
I100270,2023-11-25 05:56:04,C4770,P0165,Product_165,Clothing,1,316.35,316.35
I100271,2024-09-27 20:38:08,C3864,P0209,Product_209,Beauty,2,64.93,129.86
I100272,2024-10-23 01:39:35,C3500,P0232,Product_232,Beauty,1,1532.78,1532.78
I100273,2024-10-18 13:02:12,C7721,P0061,Product_61,Clothing,4,1196.6,4786.4
I100274,2024-02-01 04:00:08,C7515,P0145,Product_145,Home,3,890.28,2670.84
I100275,2023-04-23 05:55:11,C8137,P0223,Product_223,Sports,2,326.34,652.68
I100276,2023-06-11 03:29:25,C2864,P0257,Product_257,Clothing,3,2811.66,8434.98
I100277,2023-03-08 22:34:50,C2826,P0015,Product_15,Beauty,2,586.38,1172.76
I100278,2024-01-24 12:27:25,C1193,P0045,Product_45,Electronics,3,813.4,2440.2
I100279,2023-08-19 09:15:01,C6406,P0128,Product_128,Sports,1,2589.16,2589.16
I100280,2023-03-10 02:35:37,C2582,P0199,Product_199,Clothing,2,2666.9,5333.8
I100281,2024-09-06 04:27:24,C4264,P0207,Product_207,Food,-1,349.34,-349.34
I100282,2024-08-17 14:54:37,C3282,P0159,Product_159,Electronics,3,751.03,2253.09
I100283,2024-12-25 16:38:50,C8080,P0172,Product_172,Food,1,98.93,98.93
I100284,2024-11-23 10:53:35,C1568,P0181,Product_181,Sports,1,1056.15,1056.15
I100285,2024-01-16 19:26:26,C8920,P0116,Product_116,Sports,1,2620.81,2620.81
I100286,2023-09-17 14:30:47,C7335,P0051,Product_51,Beauty,2,2910.27,5820.54
I100287,2023-11-05 02:35:07,C3286,P0187,Product_187,Home,1,2460.81,2460.81
I100288,2024-11-26 03:42:17,C3876,P0226,Product_226,Clothing,3,769.77,2309.31
I100289,2024-08-14 21:22:34,C6255,P0238,Product_238,Clothing,2,121.73,243.46
I100290,2024-06-04 13:57:21,C5173,P0279,Product_279,Sports,2,2120.8,4241.6
I100291,2024-09-25 14:46:46,C4274,P0206,Product_206,Sports,3,77.13,231.39
I100292,2023-06-21 21:56:08,C6566,P0110,Product_110,Clothing,1,277.09,277.09
I100293,2024-01-04 08:03:39,C7911,P0110,Product_110,Clothing,1,277.09,277.09
I100294,2024-12-01 22:28:59,C5392,P0275,Product_275,Clothing,1,1558.46,1558.46
I100295,2024-03-25 00:20:23,C3712,P0143,Product_143,Electronics,3,1516.88,4550.64
I100296,2023-10-09 01:28:08,C8694,P0083,Product_83,Clothing,2,1026.15,2052.3
I100297,2023-07-31 16:22:40,C1226,P0038,Product_38,Sports,1,338.13,338.13
I100298,2023-06-06 17:07:23,C1944,P0262,Product_262,Home,1,2970.66,2970.66
I100299,2023-09-20 03:33:24,C8184,P0096,Product_96,Home,2,1506.7,3013.4
I100300,2023-10-24 06:55:12,C8949,P0200,Product_200,Home,1,2350.63,2350.63
I100301,2023-02-01 17:29:44,C3139,P0248,Product_248,Sports,1,2901.63,2901.63
I100302,2023-03-24 12:47:13,C2462,P0188,Product_188,Clothing,6,1687.84,10127.04
I100303,2024-04-16 04:44:49,C5756,P0026,Product_26,Home,4,2366.27,9465.08
